lat,lng,population,Location
46.1991,-118.9728,3398,"Burbank, WA"
47.3374,-122.2814,12487,"Lakeland North, WA"
48.0874,-121.9704,6565,"Granite Falls, WA"
45.6003,-122.4306,23331,"Camas, WA"
47.3298,-123.1579,755,"Skokomish, WA"
48.3328,-117.2961,217,"Cusick, WA"
47.2363,-117.3769,567,"Rosalia, WA"
47.2257,-122.7739,3236,"Longbranch, WA"
46.3455,-120.1926,3542,"Granger, WA"
47.1221,-122.5966,5009,"North Fort Lewis, WA"
46.5325,-120.8727,465,"Tampico, WA"
47.4748,-122.2727,20144,"Tukwila, WA"
46.2056,-123.3835,553,"Cathlamet, WA"
47.4338,-120.3286,71512,"Wenatchee, WA"
47.9101,-122.7006,2642,"Port Ludlow, WA"
46.2717,-122.9057,2833,"Castle Rock, WA"
48.8903,-121.9323,102,"Glacier, WA"
47.8212,-121.5556,205,"Index, WA"
48.6477,-118.7326,1062,"Republic, WA"
47.5953,-122.155,144444,"Bellevue, WA"
48.7997,-118.6119,72,"Malo, WA"
47.1577,-122.7037,1292,"Anderson Island, WA"
47.2148,-122.546,33401,"University Place, WA"
47.0102,-123.5858,8494,"Montesano, WA"
46.8917,-122.6867,2126,"Rainier, WA"
46.7461,-123.0029,1812,"Fords Prairie, WA"
46.9971,-122.5423,820,"Roy, WA"
48.2836,-121.9237,212,"Oso, WA"
48.5378,-121.4346,0,"Marblemount, WA"
47.0448,-122.3671,14280,"Elk Plain, WA"
48.4677,-122.3298,8783,"Burlington, WA"
47.7227,-122.7146,6358,"Bangor Base, WA"
47.5854,-122.2009,326,"Beaux Arts Village, WA"
47.8487,-122.5571,920,"Port Gamble Tribal Community, WA"
47.0417,-122.8959,196078,"Olympia, WA"
47.4172,-120.2809,13983,"East Wenatchee, WA"
48.3588,-117.8372,96,"Addy, WA"
45.6577,-122.6204,11767,"Minnehaha, WA"
47.4949,-122.2411,18365,"Bryn Mawr-Skyway, WA"
47.0223,-123.4737,572,"Satsop, WA"
47.4651,-121.7491,2241,"Riverbend, WA"
47.2405,-121.1733,395,"Easton, WA"
47.6663,-122.6828,20664,"Silverdale, WA"
46.5844,-122.9007,1893,"Napavine, WA"
48.0597,-122.0411,3188,"Lochsloy, WA"
46.9994,-120.547,23471,"Ellensburg, WA"
46.9365,-122.55,978,"McKenna, WA"
47.3848,-117.1748,616,"Fairfield, WA"
48.2623,-122.3501,144,"Northwest Stanwood, WA"
47.8119,-119.638,339,"Mansfield, WA"
47.7354,-121.9725,7813,"Duvall, WA"
46.9155,-123.9814,238,"Markham, WA"
47.2035,-122.3699,8064,"Waller, WA"
46.146,-122.963,65619,"Longview, WA"
46.2826,-119.2937,56243,"Richland, WA"
47.3453,-122.6368,4459,"Rosedale, WA"
45.6367,-122.597,175673,"Vancouver, WA"
47.4874,-122.6175,3673,"Bethel, WA"
48.9143,-122.6397,149,"Custer, WA"
47.8113,-122.6564,2211,"Lofall, WA"
47.4467,-122.143,19531,"Fairwood, WA"
46.4907,-122.9342,1354,"Winlock, WA"
47.219,-122.2338,10093,"Sumner, WA"
47.7466,-122.0755,23941,"Cottage Lake, WA"
46.1742,-123.3829,899,"Puget Island, WA"
47.8821,-121.8982,5826,"Woods Creek, WA"
45.5812,-122.3433,15711,"Washougal, WA"
48.1188,-122.1076,2810,"Sisco Heights, WA"
47.3766,-122.6022,3220,"Canterwood, WA"
46.4434,-120.4215,7686,"Wapato, WA"
46.2185,-123.3698,160,"Lower Elochoman, WA"
48.1387,-122.2804,3879,"Lake Goodwin, WA"
47.6315,-119.276,270,"Banks Lake South, WA"
47.3887,-122.2128,128458,"Kent, WA"
46.0056,-120.3081,67,"Bickleton, WA"
46.375,-123.0441,332,"Ryderwood, WA"
47.9845,-122.0746,5284,"Cavalero, WA"
48.3925,-122.4945,3475,"La Conner, WA"
47.848,-122.2326,18566,"Martha Lake, WA"
47.0845,-119.8598,507,"George, WA"
47.9277,-122.097,10089,"Snohomish, WA"
46.8682,-122.2698,3038,"Eatonville, WA"
45.7353,-121.8219,2688,"Carson, WA"
47.7105,-118.9369,276,"Almira, WA"
48.9276,-122.3211,1560,"Nooksack, WA"
45.7373,-122.6315,8525,"Mount Vista, WA"
47.7968,-122.0281,3028,"High Bridge, WA"
47.2784,-122.2831,13982,"Lakeland South, WA"
47.7532,-122.2459,22867,"Kenmore, WA"
48.3612,-124.6115,994,"Neah Bay, WA"
46.9213,-121.042,80,"Cliffdell, WA"
48.1041,-123.3695,3627,"Port Angeles East, WA"
47.4762,-122.3393,51671,"Burien, WA"
47.3283,-124.2728,714,"Taholah, WA"
47.386,-122.6694,4412,"Wauna, WA"
46.6624,-118.8405,5360,"Connell, WA"
48.345,-119.2299,22,"Disautel, WA"
47.2975,-124.2327,26,"Santiago, WA"
47.0966,-122.2111,7983,"Orting, WA"
48.5454,-117.8986,5064,"Colville, WA"
48.081,-122.1558,166541,"Marysville, WA"
46.0669,-118.3365,57779,"Walla Walla, WA"
46.4083,-120.2717,3125,"Zillah, WA"
48.8777,-118.6045,149,"Curlew, WA"
47.3376,-122.7505,3810,"Key Center, WA"
47.402,-123.1542,331,"Hoodsport, WA"
47.0979,-122.4233,30528,"Spanaway, WA"
46.7364,-119.9019,5122,"Mattawa, WA"
48.2536,-124.2579,366,"Clallam Bay, WA"
47.1443,-122.1408,12733,"Prairie Ridge, WA"
48.4854,-121.6065,76,"Rockport, WA"
47.3814,-122.7154,2747,"Stansberry Lake, WA"
47.1205,-124.1722,559,"Copalis Beach, WA"
47.0914,-122.3594,21737,"Frederickson, WA"
46.3371,-117.0433,1295,"Asotin, WA"
47.8633,-122.2034,20832,"Mill Creek, WA"
48.055,-123.087,875,"Bell Hill, WA"
47.819,-117.277,544,"Green Bluff, WA"
48.0013,-117.5612,361,"Clayton, WA"
47.1794,-122.2902,41001,"Puyallup, WA"
45.7301,-122.4833,5267,"Hockinson, WA"
48.3129,-122.2317,134,"Lake McMurray, WA"
46.7968,-122.868,583,"Bucoda, WA"
47.542,-122.0444,37487,"Issaquah, WA"
47.3326,-118.6895,876,"Odessa, WA"
45.6797,-122.6553,21449,"Hazel Dell, WA"
47.1286,-122.2374,1673,"McMillin, WA"
47.7583,-118.711,839,"Wilbur, WA"
46.3004,-123.4243,300,"Skamokawa Valley, WA"
45.754,-120.9081,109,"Centerville, WA"
46.8368,-120.9455,98,"Nile, WA"
47.6625,-117.2346,97847,"Spokane Valley, WA"
45.9149,-122.7503,6531,"Woodland, WA"
45.8127,-122.5144,1503,"Lewisville, WA"
46.9453,-119.9923,18,"Vantage, WA"
47.5237,-122.7057,257,"Gorst, WA"
47.3325,-122.103,11201,"Lake Morton-Berrydale, WA"
48.7402,-117.4223,459,"Ione, WA"
47.8056,-122.24,20472,"Bothell West, WA"
47.355,-122.7773,342,"Vaughn, WA"
47.313,-122.0181,4436,"Black Diamond, WA"
48.8525,-122.5893,14026,"Ferndale, WA"
48.7146,-122.2293,183,"Acme, WA"
47.5086,-122.348,15300,"White Center, WA"
47.6187,-117.6485,2960,"Fairchild AFB, WA"
47.2611,-122.2507,7184,"Pacific, WA"
46.0228,-121.2926,157,"Glenwood, WA"
46.9032,-117.3394,2811,"Colfax, WA"
48.2018,-122.2459,0,"Silvana, WA"
47.9526,-124.3904,4274,"Forks, WA"
47.6997,-122.2041,88630,"Kirkland, WA"
48.3671,-119.5784,2571,"Okanogan, WA"
48.1387,-122.3342,1693,"Kayak Point, WA"
47.6788,-122.0284,22109,"Union Hill-Novelty Hill, WA"
46.3311,-120.0923,300,"Outlook, WA"
47.2305,-122.1696,13091,"Lake Tapps, WA"
46.8656,-124.1054,712,"Cohassett Beach, WA"
48.7077,-119.4412,1126,"Tonasket, WA"
46.3159,-120.0058,17927,"Sunnyside, WA"
47.3755,-119.5043,881,"Lakeview, WA"
47.0805,-122.0536,701,"Carbonado, WA"
46.734,-117.1669,33276,"Pullman, WA"
48.013,-122.9897,22,"Blyn, WA"
47.6689,-122.9249,703,"Brinnon, WA"
48.5324,-123.0655,2407,"Friday Harbor, WA"
45.6888,-122.5305,21299,"Orchards, WA"
47.3938,-122.6114,1087,"Purdy, WA"
47.2247,-117.0732,809,"Tekoa, WA"
47.4813,-121.6921,905,"Tanner, WA"
47.0656,-120.6709,297,"Thorp, WA"
47.3024,-122.639,12937,"Artondale, WA"
47.6687,-117.1032,9893,"Liberty Lake, WA"
47.4901,-117.5789,12421,"Cheney, WA"
47.6019,-122.0419,64548,"Sammamish, WA"
47.1946,-120.9553,3768,"Cle Elum, WA"
45.637,-122.3963,2611,"Fern Prairie, WA"
47.338,-117.2312,108,"Waverly, WA"
47.1628,-122.5299,60296,"Lakewood, WA"
47.6926,-121.9152,1220,"Lake Marcel-Stillwater, WA"
46.9705,-123.7018,2741,"Central Park, WA"
48.0063,-119.6737,2555,"Bridgeport, WA"
47.3293,-122.6686,341,"Raft Island, WA"
47.8429,-122.2527,4117,"Larch Way, WA"
48.0532,-121.9812,654,"Lake Bosworth, WA"
45.7136,-122.6114,6719,"Barberton, WA"
48.2637,-124.3012,50,"Sekiu, WA"
47.7922,-122.2734,6884,"Brier, WA"
47.6671,-117.433,403043,"Spokane, WA"
47.5717,-121.9134,1903,"Fall City, WA"
46.2506,-119.1303,73013,"Pasco, WA"
48.523,-122.0634,468,"Lyman, WA"
